brand,breadcrumbs,colour,description,image_url,price,product_id,product_name,reviews,sizes,sku
,,,,//carbon38.com/cdn/shop/files/WOLF-53308-BLKBLK-Active-Flow-Top-color-black0616-Edit.jpg?v=1711064423&width=1000,,,Active Flow Top,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB20404-BLKBLK-long-sleeve-top-in-diamond-compression-Color-BLACK_1267.jpg?v=1677725498&width=1000,,,Long Sleeve Top In Diamond Compression,,,
,,,,//carbon38.com/cdn/shop/files/VARL-VAR02070-BLKBLK-Eleanor-Patch-Pocket-Fleece-color-Black_4163-Edit.jpg?v=1721411045&width=1000,,,Eleanor Patch Pocket Fleece,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB21100-BLURBL-twist-front-cami-1-Color-STRONG-BLUE_b31595e0-a03b-4463-a249-bb2328d677ec.jpg?v=1661379978&width=1000,,,Twist Front Cami,,,
,,,,//carbon38.com/cdn/shop/products/ARTE-AD02-109-B258-OLVEOLVDRK-Frankie-Tee-color-OLIVE_1247.jpg?v=1679957556&width=1000,,,Frankie Tee,,,
,,,,//carbon38.com/cdn/shop/products/SERO-2040-11-PNKPINNEO-RAINES-SILK-SHIRT-color-FUCHSIA_1380.jpg?v=1682028766&width=1000,,,RAINES SILK SHIRT,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB22044-BLUELT-23SS-FRENCH-TERRY-HALF-ZIP-color-HAWAIIAN-SURF_4710.jpg?v=1677802638&width=1000,,,FRENCH TERRY HALF ZIP,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6139-RED-24HOL-Half-Zip-Fleece-Top-color-Crimson-Red_6194-Edit.jpg?v=1733952956&width=1000,,,Half Zip Fleece Top,,,
,,,,//carbon38.com/cdn/shop/products/CARB-CRB21212-GRNDGR-cut-out-halterneck-cami-Color-DARK-TEAL_e94f8898-58f6-4aeb-9f95-b199383934a4.jpg?v=1661380018&width=1000,,,Cut Out Halter Neck Ribbed Cami,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD920-MULTI-23FAL-Sweater-Cardigan-color-Multi_25558.jpg?v=1687382655&width=1000,,,The Travel Sweater,,,
